name,AwalLatitude,AwalLongi
ANCOL,-6128028,1068032377
ANGKE,-61455,106811111
BRAMBANAN,-7782344,110361298
BANDUNG,-6917464,107619125
BOJONGGEDE,-6401667,106875
BEKASI,-6229378,106996458
BEKASITIMUR,-6240278,107004444
BOJONGINDAH,-6416667,106883333
BOGOR,-6600938,106804522
BATUCEPER,-6166667,106783333
BANDARASOEKARNOHATTA,-61257714,106656722
BUARAN,-6183333,106833333
CIGANEA,-6872222,107575
CIBATU,-6866667,107.55
CIBINONG,-6527778,106833333
CIBUNGUR,-6541667,106833333
CICAYUR,-6883333,107583333
CICALENGKA,-7016667,107666667
CIKADONGDONG,-6.85,107566667
CEPER,-7566667,110833333
CIBITUNG,-6216667,106.85
CILEJIT,-6208333,106866667
CIKINI,-6191667,106833333
CIKAMPEK,-6316667,106916667
CIKARANG,-6227948,106982722
CIKOYA,-6244444,106930556
CILAME,-6433333,106.85
CILEBUT,-6566667,106833333
CIMINDI,-6916667,107.6
CIMAHI,-6891667,107566667
CIMEKAR,-6.9,107633333
CISAUK,-6233333,106683333
CITAYAM,-6445833,106847222
CIKUDAPATEUH,-6.8,107583333
CITERAS,-6966667,107.65
CAWANG,-621666,106840366
DARU,-7483333,110433333
DELANGGU,-7533333,110416667
DEPOK,-6375,106825
DEPOKBARU,-6383333,106816667
DURENKALIBATA,-6266667,106841667
DURI,-6166667,106808333
DAWUAN,-6283333,107.05
GEDEBAGE,-6916667,107.6
GONDANGDIA,-6195,106828333
GROGOL,-6175,106816667
GADOBANGKONG,-6983333,107616667
GARUT,-7216667,107866667
GANGSENTIONG,-7016667,107583333
GAWOK,-7.75,110383333
HAURPUGUR,-6966667,107633333
JAKARTAKOTA,-6133333,106816667
JAYAKARTA,-6133333,106816667
JURANGMANGU,-6966667,107.65
JENAR,-7516667,110.4
JATINEGARA,-6216667,106.85
JUANDA,-6175,106825
KIARACONDONG,-6.9,107616667
KARET,-6208333,106825
KEBAYORAN,-6233333,106833333
KEDUNGGEDEH,-7033333,107566667
KALIDERES,-6.15,106783333
KLENDER,-6.25,106883333
KLENDERBARU,-6266667,106891667
KLARI,-6283333,106933333
KEMAYORAN,-6175,106833333
KRAMAT,-6183333,106841667
KOSAMBI,-6141667,106791667
KAMPUNGBANDAN,-6166667,106816667
KARANGSARI,-6266667,106866667
KRANJI,-6183333,106775
KLATEN,-7483333,110.45
KUTOARJO,-7733333,110.35
KARAWANG,-6283333,107033333
LEBAKJERO,-6.45,106808333
LELES,-6883333,107633333
LEMAHABANG,-6166667,106808333
LENTENGAGUNG,-6316667,106841667
LEUWIGOONG,-6933333,107616667
LEMPUYANGAN,-7783333,110366667
MANGGABESAR,-6191667,106833333
MAGUWO,-7783333,110.4
MAJA,-6416667,106816667
MANGGARAI,-6216667,106833333
MASWATI,-6.25,106875
MATRAMAN,-6.2,106858333
NAGREG,-7.1,107733333
NAMBO,-6883333,107.6
PONDOKRANJI,-6233333,106791667
PADALARANG,-6.9,107566667
PORIS,-6166667,106766667
PALUR,-6233333,106883333
PLERED,-6.95,107633333
PALMERAH,-6216667,106816667
PONDOKCINA,-6.25,106841667
PONDOKJATI,-6266667,106.85
PARUNGPANJANG,-6916667,107.55
PASARSENEN,-6183333,106825
PESING,-6158333,106791667
PASIRJENGKOL,-6266667,106875
PASARMINGGU,-6233333,106841667
PAS.MINGGUBARU,-6233333,106841667
PURWAKARTA,-6566667,107433333
PURWOSARI,-7766667,110383333
RANCAEKEK,-6933333,107.6
RENDEH,-6433333,106825
RAJAWALI,-6.2,106866667
RANGKASBITUNG,-6416667,106133333
RAWABUNTU,-6216667,106833333
RAWABUAYA,-6.2,106825
SUDIMARA,-6216667,106841667
SOLO JEBRES,-7583333,110833333
SASAKSAAT,-7783333,110383333
SOLO BALAPAN,-7583333,110833333
SERPONG,-6283333,106733333
SUDIRMAN,-6225,106816667
SUDIRMAN BARU,-6225,106816667
SUKATANI,-6333333,106916667
SAWAHBESAR,-6166667,106816667
SROWOT,-7766667,110366667
TAMBUN,-6266667,106916667
TEBET,-6.25,106833333
TENJO,-6.3,106883333
TIGARAKSA,-6216667,106616667
TANAHABANG,-6216667,106816667
TAMANKOTA,-6233333,106791667
M.TELAGAMURNI,-6316667,106.9
TANGERANG,-6183333,106633333
TANJUNGBARAT,-6216667,106.6
TANJUNGPRIUK,-6125,106883333
TANAHTINGGI,-6283333,106866667
UNIV.INDONESIA,-6283333,106841667
UNIV.PANCASILA,-6266667,106.85
WOJO,-6.35,106866667
WANARAJA,-7383333,109166667
WATES,-7833333,110233333
YOGYAKARTA,-7783333,110366667
