destination,AkhirLatitude,AkhirLongitude
TANJUNGPRIUK,-6.1280924,106.8270132
JAKARTAKOTA,-6.1257714,106.8032377
TAMBUN,-6.175694,106.924778
CIKARANG,-6.227948,106.982722
BEKASI,-6.229378,106.996458
KAMPUNGBANDAN,-6.140538,106.840366
MANGGARAI,-6.219544,106.833142
YOGYAKARTA,-7.782344,110.361298
PALUR,-7.782344,110.361298
BOGOR,-6.600938,106.804522
DEPOK,-6.375778,106.8270132
ANGKE,-6.135,106.811111
DURI,-6.145694,106.8270132
TANGERANG,-6.175694,106.656722
BANDARASOEKARNOHATTA,-6.1257714,106.656722
NAMBO,-6.263889,106.947222
PARUNGPANJANG,-6.302778,106.924778
RANGKASBITUNG,-6.351667,106.875
TANAHABANG,-6.219544,106.833142
TIGARAKSA,-6.229378,106.624778
SERPONG,-6.263889,106.6
BOJONGGEDE,-6.401667,106.875
KUTOARJO,-7.782344,110.361298
TANAH ABANG,-6.219544,106.833142
MERAK,-6.1257714,106.656722
