destination,AkhirLatitude,AkhirLongitude
TANJUNGPRIUK,-61280924,1068270132
JAKARTAKOTA,-61257714,1068032377
TAMBUN,-6175694,106924778
CIKARANG,-6227948,106982722
BEKASI,-6229378,106996458
KAMPUNGBANDAN,-6140538,106840366
MANGGARAI,-6219544,106833142
YOGYAKARTA,-7782344,110361298
PALUR,-7782344,110361298
BOGOR,-6600938,106804522
DEPOK,-6375778,1068270132
ANGKE,-6135000,106811111
DURI,-6145694,1068270132
TANGERANG,-6175694,106656722
BANDARASOEKARNOHATTA,-61257714,106656722
NAMBO,-6263889,106947222
PARUNGPANJANG,-6302778,106924778
RANGKASBITUNG,-6351667,106875000
TANAHABANG,-6219544,106833142
TIGARAKSA,-6229378,106624778
SERPONG,-6263889,106600000
BOJONGGEDE,-6401667,106875000
KUTOARJO,-7782344,110361298
TANAH ABANG,-6219544,106833142
MERAK,-61257714,106656722
