name,AwalLatitude,AwalLongi
ANCOL,-612.803,1.068.032.377
ANGKE,-61.455,106.811.111
BRAMBANAN,-778.234,110.361.298
BANDUNG,-691.746,107.619.125
BOJONGGEDE,-640.167,106.875
BEKASI,-622.938,106.996.458
BEKASITIMUR,-624.028,107.004.444
BOJONGINDAH,-641.667,106.883.333
BOGOR,-660.094,106.804.522
BATUCEPER,-616.667,106.783.333
BANDARASOEKARNOHATTA,-612.577,106.656.722
BUARAN,-618.333,106.833.333
CIGANEA,-687.222,107.575
CIBATU,-686.667,107.55
CIBINONG,-652.778,106.833.333
CIBUNGUR,-654.167,106.833.333
CICAYUR,-688.333,107.583.333
CICALENGKA,-701.667,107.666.667
CIKADONGDONG,-6.85,107.566.667
CEPER,-756.667,110.833.333
CIBITUNG,-621.667,106.85
CILEJIT,-620.833,106.866.667
CIKINI,-619.167,106.833.333
CIKAMPEK,-631.667,106.916.667
CIKARANG,-622.795,106.982.722
CIKOYA,-624.444,106.930.556
CILAME,-643.333,106.85
CILEBUT,-656.667,106.833.333
CIMINDI,-691.667,107.6
CIMAHI,-689.167,107.566.667
CIMEKAR,-6.9,107.633.333
CISAUK,-623.333,106.683.333
CITAYAM,-644.583,106.847.222
CIKUDAPATEUH,-6.8,107.583.333
CITERAS,-696.667,107.65
CAWANG,-621.666,106.840.366
DARU,-748.333,110.433.333
DELANGGU,-753.333,110.416.667
DEPOK,-6.375,106.825
DEPOKBARU,-638.333,106.816.667
DURENKALIBATA,-626.667,106.841.667
DURI,-616.667,106.808.333
DAWUAN,-628.333,107.05
GEDEBAGE,-691.667,107.6
GONDANGDIA,-6.195,106.828.333
GROGOL,-6.175,106.816.667
GADOBANGKONG,-698.333,107.616.667
GARUT,-721.667,107.866.667
GANGSENTIONG,-701.667,107.583.333
GAWOK,-7.75,110.383.333
HAURPUGUR,-696.667,107.633.333
JAKARTAKOTA,-613.333,106.816.667
JAYAKARTA,-613.333,106.816.667
JURANGMANGU,-696.667,107.65
JENAR,-751.667,110.4
JATINEGARA,-621.667,106.85
JUANDA,-6.175,106.825
KIARACONDONG,-6.9,107.616.667
KARET,-620.833,106.825
KEBAYORAN,-623.333,106.833.333
KEDUNGGEDEH,-703.333,107.566.667
KALIDERES,-6.15,106.783.333
KLENDER,-6.25,106.883.333
KLENDERBARU,-6.266.667,106.891.667
KLARI,-628.333,106.933.333
KEMAYORAN,-6.175,106.833.333
KRAMAT,-6.183.333,106.841.667
KOSAMBI,-6.141.667,106.791.667
KAMPUNGBANDAN,-6.166.667,106.816.667
KARANGSARI,-6.266.667,106.866.667
KRANJI,-6.183.333,106.775
KLATEN,-7.483.333,110.45
KUTOARJO,-7733333,110.35
KARAWANG,-6.283.333,107.033.333
LEBAKJERO,-6.45,106.808.333
LELES,-6.883.333,107.633.333
LEMAHABANG,-6.166.667,106.808.333
LENTENGAGUNG,-6.316.667,106.841.667
LEUWIGOONG,-6.933.333,107.616.667
LEMPUYANGAN,-7.783.333,110.366.667
MANGGABESAR,-6.191.667,106.833.333
MAGUWO,-7.783.333,110.4
MAJA,-6.416.667,106.816.667
MANGGARAI,-6.216.667,106.833.333
MASWATI,-6.25,106.875
MATRAMAN,-6.2,106.858.333
NAGREG,-7.1,107.733.333
NAMBO,-6.883.333,107.6
PONDOKRANJI,-6.233.333,106.791.667
PADALARANG,-6.9,107.566.667
PORIS,-6.166.667,106.766.667
PALUR,-6.233.333,106.883.333
PLERED,-6.95,107.633.333
PALMERAH,-6.216.667,106.816.667
PONDOKCINA,-6.25,106.841.667
PONDOKJATI,-6.266.667,106.85
PARUNGPANJANG,-6.916.667,107.55
PASARSENEN,-6.183.333,106.825
PESING,-6.158.333,106.791.667
PASIRJENGKOL,-6.266.667,106.875
PASARMINGGU,-6.233.333,106.841.667
PAS.MINGGUBARU,-6.233.333,106.841.667
PURWAKARTA,-6.566.667,107.433.333
PURWOSARI,-7.766.667,110.383.333
RANCAEKEK,-6.933.333,107.6
RENDEH,-6.433.333,106.825
RAJAWALI,-6.2,106.866.667
RANGKASBITUNG,-6.416.667,106.133.333
RAWABUNTU,-6.216.667,106.833.333
RAWABUAYA,-6.2,106.825
SUDIMARA,-6.216.667,106.841.667
SOLO JEBRES,-7.583.333,110.833.333
SASAKSAAT,-7.783.333,110.383.333
SOLO BALAPAN,-7.583.333,110.833.333
SERPONG,-6.283.333,106.733.333
SUDIRMAN,-6.225,106.816.667
SUDIRMAN BARU,-6.225,106.816.667
SUKATANI,-6.333.333,106.916.667
SAWAHBESAR,-6.166.667,106.816.667
SROWOT,-7.766.667,110.366.667
TAMBUN,-6.266.667,106.916.667
TEBET,-6.25,106.833.333
TENJO,-6.3,106.883.333
TIGARAKSA,-6.216.667,106.616.667
TANAHABANG,-6.216.667,106.816.667
TAMANKOTA,-6.233.333,106.791.667
M.TELAGAMURNI,-6.316.667,106.9
TANGERANG,-6.183.333,106.633.333
TANJUNGBARAT,-6.216.667,106.6
TANJUNGPRIUK,-6.125,106.883.333
TANAHTINGGI,-6.283.333,106.866.667
UNIV.INDONESIA,-6.283.333,106.841.667
UNIV.PANCASILA,-6.266.667,106.85
WOJO,-6.35,106.866.667
WANARAJA,-7.383.333,109.166.667
WATES,-7.833.333,110.233.333
YOGYAKARTA,-7.783.333,110.366.667
