name,AwalLatitude,AwalLongi
ANCOL,"-6.128.028,00","1.068.032.377,00"
ANGKE,"-61.455,00","106.811.111,00"
BRAMBANAN,"-7.782.344,00","110.361.298,00"
BANDUNG,"-6.917.464,00","107.619.125,00"
BOJONGGEDE,"-6.401.667,00","106.875,00"
BEKASI,"-6.229.378,00","106.996.458,00"
BEKASITIMUR,"-6.240.278,00","107.004.444,00"
BOJONGINDAH,"-6.416.667,00","106.883.333,00"
BOGOR,"-6.600.938,00","106.804.522,00"
BATUCEPER,"-6.166.667,00","106.783.333,00"
BANDARASOEKARNOHATTA,"-61.257.714,00","106.656.722,00"
BUARAN,"-6.183.333,00","106.833.333,00"
CIGANEA,"-6.872.222,00","107.575,00"
CIBATU,"-6.866.667,00",107.55
CIBINONG,"-6.527.778,00","106.833.333,00"
CIBUNGUR,"-6.541.667,00","106.833.333,00"
CICAYUR,"-6.883.333,00","107.583.333,00"
CICALENGKA,"-7.016.667,00","107.666.667,00"
CIKADONGDONG,-6.85,"107.566.667,00"
CEPER,"-7.566.667,00","110.833.333,00"
CIBITUNG,"-6.216.667,00",106.85
CILEJIT,"-6.208.333,00","106.866.667,00"
CIKINI,"-6.191.667,00","106.833.333,00"
CIKAMPEK,"-6.316.667,00","106.916.667,00"
CIKARANG,"-6.227.948,00","106.982.722,00"
CIKOYA,"-6.244.444,00","106.930.556,00"
CILAME,"-6.433.333,00",106.85
CILEBUT,"-6.566.667,00","106.833.333,00"
CIMINDI,"-6.916.667,00",107.6
CIMAHI,"-6.891.667,00","107.566.667,00"
CIMEKAR,-6.9,"107.633.333,00"
CISAUK,"-6.233.333,00","106.683.333,00"
CITAYAM,"-6.445.833,00","106.847.222,00"
CIKUDAPATEUH,-6.8,"107.583.333,00"
CITERAS,"-6.966.667,00",107.65
CAWANG,"-621.666,00","106.840.366,00"
DARU,"-7.483.333,00","110.433.333,00"
DELANGGU,"-7.533.333,00","110.416.667,00"
DEPOK,"-6.375,00","106.825,00"
DEPOKBARU,"-6.383.333,00","106.816.667,00"
DURENKALIBATA,"-6.266.667,00","106.841.667,00"
DURI,"-6.166.667,00","106.808.333,00"
DAWUAN,"-6.283.333,00",107.05
GEDEBAGE,"-6.916.667,00",107.6
GONDANGDIA,"-6.195,00","106.828.333,00"
GROGOL,"-6.175,00","106.816.667,00"
GADOBANGKONG,"-6.983.333,00","107.616.667,00"
GARUT,"-7.216.667,00","107.866.667,00"
GANGSENTIONG,"-7.016.667,00","107.583.333,00"
GAWOK,-7.75,"110.383.333,00"
HAURPUGUR,"-6.966.667,00","107.633.333,00"
JAKARTAKOTA,"-6.133.333,00","106.816.667,00"
JAYAKARTA,"-6.133.333,00","106.816.667,00"
JURANGMANGU,"-6.966.667,00",107.65
JENAR,"-7.516.667,00",110.4
JATINEGARA,"-6.216.667,00",106.85
JUANDA,"-6.175,00","106.825,00"
KIARACONDONG,-6.9,"107.616.667,00"
KARET,"-6.208.333,00","106.825,00"
KEBAYORAN,"-6.233.333,00","106.833.333,00"
KEDUNGGEDEH,"-7.033.333,00","107.566.667,00"
KALIDERES,-6.15,"106.783.333,00"
KLENDER,-6.25,"106.883.333,00"
KLENDERBARU,"-6.266.667,00","106.891.667,00"
KLARI,"-6.283.333,00","106.933.333,00"
KEMAYORAN,"-6.175,00","106.833.333,00"
KRAMAT,"-6.183.333,00","106.841.667,00"
KOSAMBI,"-6.141.667,00","106.791.667,00"
KAMPUNGBANDAN,"-6.166.667,00","106.816.667,00"
KARANGSARI,"-6.266.667,00","106.866.667,00"
KRANJI,"-6.183.333,00","106.775,00"
KLATEN,"-7.483.333,00",110.45
KUTOARJO,"-7.733.333,00",110.35
KARAWANG,"-6.283.333,00","107.033.333,00"
LEBAKJERO,-6.45,"106.808.333,00"
LELES,"-6.883.333,00","107.633.333,00"
LEMAHABANG,"-6.166.667,00","106.808.333,00"
LENTENGAGUNG,"-6.316.667,00","106.841.667,00"
LEUWIGOONG,"-6.933.333,00","107.616.667,00"
LEMPUYANGAN,"-7.783.333,00","110.366.667,00"
MANGGABESAR,"-6.191.667,00","106.833.333,00"
MAGUWO,"-7.783.333,00",110.4
MAJA,"-6.416.667,00","106.816.667,00"
MANGGARAI,"-6.216.667,00","106.833.333,00"
MASWATI,-6.25,"106.875,00"
MATRAMAN,-6.2,"106.858.333,00"
NAGREG,-7.1,"107.733.333,00"
NAMBO,"-6.883.333,00",107.6
PONDOKRANJI,"-6.233.333,00","106.791.667,00"
PADALARANG,-6.9,"107.566.667,00"
PORIS,"-6.166.667,00","106.766.667,00"
PALUR,"-6.233.333,00","106.883.333,00"
PLERED,-6.95,"107.633.333,00"
PALMERAH,"-6.216.667,00","106.816.667,00"
PONDOKCINA,-6.25,"106.841.667,00"
PONDOKJATI,"-6.266.667,00",106.85
PARUNGPANJANG,"-6.916.667,00",107.55
PASARSENEN,"-6.183.333,00","106.825,00"
PESING,"-6.158.333,00","106.791.667,00"
PASIRJENGKOL,"-6.266.667,00","106.875,00"
PASARMINGGU,"-6.233.333,00","106.841.667,00"
